iter	RMSE
0	21078.14706
1	19674.8467
2	18409.44102
3	17329.06762
4	16338.80152
5	15479.43177
6	14741.67178
7	14090.97786
8	13530.16757
9	13042.59391
10	12578.67767
11	12204.38463
12	11886.47904
13	11593.72468
14	11301.22234
15	10963.05781
16	10688.11577
17	10522.07209
18	10378.4297
19	10251.37435
20	10139.18712
21	9968.56601
22	9882.108689
23	9743.243529
24	9636.108361
25	9554.36669
26	9422.388955
27	9312.894252
28	9260.703521
29	9218.340015
30	9166.425765
31	9110.165449
32	9015.709426
33	8926.862922
34	8862.834262
35	8800.474202
36	8744.903108
37	8700.740675
38	8664.89882
39	8574.338428
40	8517.818673
41	8485.570673
42	8455.431261
43	8405.570528
44	8389.759055
45	8353.977675
46	8317.669748
47	8293.83393
48	8259.650163
49	8230.358484
50	8211.810988
51	8185.247804
52	8168.096873
53	8156.353359
54	8135.071185
55	8069.334057
56	8050.032546
57	7993.763122
58	7969.189464
59	7956.65675
60	7898.732218
61	7876.934445
62	7850.227557
63	7827.472469
64	7809.826175
65	7776.443122
66	7763.537934
67	7724.858141
68	7699.437064
69	7691.406192
70	7677.691865
71	7654.903129
72	7637.89043
73	7622.904556
74	7610.06182
75	7596.126415
76	7575.408768
77	7553.453302
78	7542.744053
79	7519.116717
80	7486.852949
81	7470.474332
82	7451.164142
83	7434.35601
84	7415.027382
85	7399.953476
86	7379.816435
87	7369.094373
88	7352.745213
89	7344.223945
90	7325.049966
91	7310.640974
92	7298.860307
93	7289.508259
94	7262.206087
95	7249.068947
96	7231.218308
97	7216.032173
98	7200.708281
99	7187.910695
100	7181.992621
101	7164.88889
102	7160.441317
103	7147.528038
104	7134.935522
105	7124.81914
106	7113.040778
107	7104.900138
108	7096.218106
109	7087.238975
110	7081.488079
111	7075.269043
112	7063.114319
113	7039.256268
114	7027.96584
115	7011.618036
116	6994.855235
117	6989.277289
118	6982.252956
119	6969.580735
120	6960.817824
121	6949.17056
122	6936.573456
123	6926.339288
124	6916.452219
125	6903.657047
126	6893.717886
127	6884.097045
128	6879.594908
129	6856.410568
130	6846.093288
131	6837.802623
132	6831.673421
133	6825.51329
134	6820.777885
135	6811.832459
136	6792.304649
137	6780.556685
138	6763.871041
139	6751.002746
140	6741.930733
141	6727.824495
142	6713.216846
143	6703.510015
144	6694.67977
145	6685.128502
146	6678.59162
147	6666.590554
148	6660.97783
149	6642.516697
150	6626.252722
151	6616.297906
152	6609.196917
153	6599.914328
154	6589.65759
155	6579.555341
156	6572.579566
157	6560.102047
158	6543.879968
159	6534.517364
160	6530.224413
161	6521.128717
162	6513.314382
163	6499.071041
164	6488.986527
165	6482.535064
166	6475.308262
167	6464.428389
168	6458.178598
169	6450.112582
170	6438.106596
171	6430.87176
172	6422.565081
173	6409.367612
174	6403.681598
175	6397.428179
176	6385.719765
177	6374.825216
178	6369.854164
179	6365.598119
180	6355.441898
181	6347.256065
182	6338.730787
183	6321.987467
184	6310.880401
185	6303.745481
186	6295.949626
187	6292.403983
188	6287.323691
189	6280.706089
190	6272.05265
191	6265.10454
192	6259.369504
193	6250.573044
194	6241.186274
195	6234.927508
196	6230.963158
197	6225.401756
198	6218.37556
199	6213.801191
200	6209.298147
201	6205.313554
202	6201.866138
203	6191.315951
204	6183.993492
205	6179.015967
206	6171.982935
207	6166.030401
208	6153.107555
209	6145.357851
210	6141.471383
211	6133.081337
212	6127.143373
213	6122.80842
214	6114.915867
215	6107.740508
216	6103.071291
217	6095.275371
218	6091.855683
219	6085.691109
220	6077.879743
221	6074.430454
222	6070.522952
223	6067.769329
224	6063.883509
225	6060.583985
226	6054.364222
227	6047.653599
228	6039.71845
229	6031.133628
230	6023.781529
231	6017.195473
232	6009.736227
233	6006.712877
234	6000.302242
235	5995.231056
236	5992.357136
237	5986.932605
238	5979.327718
239	5975.083146
240	5969.817218
241	5965.608644
242	5959.552711
243	5951.439881
244	5945.657817
245	5940.854199
246	5937.854633
247	5930.909757
248	5926.727884
249	5923.899819
250	5919.257749
251	5912.931217
252	5907.148501
253	5899.958829
254	5895.128686
255	5891.9925
256	5886.157985
257	5879.261754
258	5872.782061
259	5865.579702
260	5861.125157
261	5857.884135
262	5852.605777
263	5845.091538
264	5839.926956
265	5834.048609
266	5827.531691
267	5823.946515
268	5818.912134
269	5815.478734
270	5809.678017
271	5804.985781
272	5796.543895
273	5787.59468
274	5783.993455
275	5780.311192
276	5772.961081
277	5768.859547
278	5763.643355
279	5757.945784
280	5752.998334
281	5750.012266
282	5745.742546
283	5738.992424
284	5734.598458
285	5729.075162
286	5726.567708
287	5723.934159
288	5721.033649
289	5717.502275
290	5712.388412
291	5708.159552
292	5704.979165
293	5700.173851
294	5697.234272
295	5693.650671
296	5689.436787
297	5685.859194
298	5682.479397
299	5679.740161
300	5674.079488
301	5671.130466
302	5667.168621
303	5660.85542
304	5653.578935
305	5648.137018
306	5643.986471
307	5640.910666
308	5636.416789
309	5632.230779
310	5628.966722
311	5624.163049
312	5617.956083
313	5613.70015
314	5608.321721
315	5604.937814
316	5600.225673
317	5597.849805
318	5595.516485
319	5591.387067
320	5587.384249
321	5583.499924
322	5580.080769
323	5577.054506
324	5574.571793
325	5571.915093
326	5568.824499
327	5563.632592
328	5560.081476
329	5558.11494
330	5552.28078
331	5547.889529
332	5545.714365
333	5541.490204
334	5537.280011
335	5533.51889
336	5529.928076
337	5526.519586
338	5521.866299
339	5516.194289
340	5511.686593
341	5506.622894
342	5502.488117
343	5496.701869
344	5494.422546
345	5487.016906
346	5482.217975
347	5477.879044
348	5473.35254
349	5469.814531
350	5463.649055
351	5461.352167
352	5458.471228
353	5454.113476
354	5452.226636
355	5446.311567
356	5440.57628
357	5437.254517
358	5433.835413
359	5431.123708
360	5426.658526
361	5422.921867
362	5418.992991
363	5417.177325
364	5413.482787
365	5408.509
366	5404.419513
367	5397.692121
368	5395.761304
369	5393.935148
370	5391.148886
371	5389.90308
372	5386.619338
373	5382.825446
374	5374.15408
375	5372.310936
376	5369.005647
377	5366.075442
378	5356.913773
379	5355.223801
380	5353.389773
381	5350.827755
382	5347.375667
383	5344.928789
384	5339.899455
385	5337.528619
386	5331.974853
387	5329.491608
388	5324.363579
389	5321.765268
390	5319.360202
391	5314.746233
392	5310.964551
393	5307.365501
394	5298.691069
395	5295.998173
396	5294.523898
397	5290.967868
398	5285.971003
399	5283.529032
400	5281.203345
401	5278.926051
402	5275.05639
403	5273.334704
404	5271.700856
405	5267.53491
406	5266.139333
407	5264.822008
408	5260.271109
409	5257.509249
410	5253.893098
411	5248.762044
412	5245.26329
413	5243.067108
414	5240.321451
415	5237.498668
416	5233.534149
417	5228.664102
418	5226.274458
419	5220.701604
420	5218.244004
421	5213.265754
422	5208.131574
423	5203.578998
424	5200.820319
425	5198.508048
426	5197.108314
427	5194.659407
428	5192.739829
429	5189.301976
430	5186.054434
431	5183.952999
432	5182.328571
433	5179.169529
434	5177.836289
435	5175.332826
436	5171.828127
437	5167.792481
438	5165.508099
439	5163.133041
440	5160.042811
441	5157.660646
442	5154.643552
443	5151.322659
444	5148.087085
445	5145.902238
446	5144.214464
447	5141.765619
448	5138.40746
449	5136.371983
450	5133.996395
451	5132.056608
452	5129.682451
453	5127.415925
454	5124.001267
455	5121.067593
456	5117.154411
457	5113.16455
458	5106.806964
459	5103.1892
460	5101.810052
461	5098.901639
462	5097.471467
