iter	Passed	Remaining
0	34	34246
1	68	34414
2	105	34964
3	141	35289
4	179	35748
5	218	36268
6	253	36000
7	289	35907
8	326	35922
9	362	35909
10	403	36284
11	440	36238
12	475	36110
13	511	36058
14	555	36510
15	597	36758
16	645	37307
17	695	37939
18	733	37871
19	777	38095
20	821	38275
21	867	38543
22	905	38473
23	938	38152
24	976	38096
25	1035	38775
26	1079	38900
27	1126	39101
28	1172	39254
29	1215	39310
30	1255	39253
31	1298	39267
32	1343	39378
33	1387	39419
34	1438	39663
35	1483	39714
36	1529	39795
37	1575	39882
38	1625	40055
39	1673	40165
40	1714	40099
41	1756	40074
42	1797	39999
43	1846	40110
44	1890	40116
45	1931	40048
46	1967	39898
47	2003	39730
48	2041	39625
49	2076	39457
50	2110	39273
51	2144	39103
52	2181	38981
53	2229	39049
54	2274	39083
55	2322	39151
56	2367	39162
57	2406	39085
58	2453	39128
59	2506	39270
60	2553	39307
61	2588	39161
62	2632	39156
63	2674	39115
64	2720	39126
65	2765	39130
66	2805	39070
67	2838	38909
68	2875	38792
69	2914	38722
70	2957	38694
71	3005	38735
72	3045	38673
73	3088	38643
74	3125	38548
75	3164	38473
76	3204	38408
77	3238	38276
78	3279	38235
79	3321	38199
80	3362	38154
81	3409	38173
82	3454	38168
83	3494	38102
84	3536	38074
85	3577	38023
86	3611	37899
87	3645	37775
88	3681	37685
89	3715	37563
90	3751	37475
91	3790	37414
92	3827	37328
93	3860	37204
94	3890	37061
95	3920	36918
96	3956	36834
97	3992	36748
98	4025	36634
99	4059	36531
100	4093	36440
101	4134	36403
102	4172	36337
103	4205	36234
104	4239	36134
105	4277	36078
106	4314	36005
107	4349	35926
108	4383	35830
109	4414	35720
110	4447	35623
111	4483	35547
112	4518	35468
113	4553	35388
114	4591	35333
115	4627	35263
116	4662	35184
117	4699	35129
118	4734	35048
119	4764	34937
120	4799	34865
121	4834	34793
122	4871	34731
123	4909	34683
124	4941	34592
125	4978	34531
126	5015	34473
127	5048	34395
128	5088	34355
129	5122	34281
130	5153	34183
131	5189	34125
132	5224	34057
133	5258	33981
134	5291	33906
135	5324	33828
136	5356	33740
137	5392	33686
138	5425	33604
139	5459	33538
140	5499	33501
141	5540	33479
142	5584	33470
143	5622	33421
144	5662	33389
145	5703	33362
146	5745	33341
147	5791	33343
148	5831	33306
149	5869	33260
150	5916	33264
151	5954	33221
152	5995	33188
153	6035	33154
154	6080	33150
155	6119	33105
156	6163	33093
157	6226	33180
158	6262	33125
159	6310	33129
160	6352	33103
161	6401	33113
162	6446	33103
163	6482	33045
164	6530	33048
165	6577	33044
166	6613	32986
167	6654	32955
168	6694	32919
169	6742	32918
170	6781	32875
171	6820	32834
172	6863	32808
173	6908	32795
174	6948	32759
175	6998	32765
176	7036	32716
177	7074	32670
178	7117	32644
179	7156	32601
180	7195	32557
181	7239	32536
182	7283	32517
183	7329	32506
184	7369	32466
185	7409	32425
186	7455	32413
187	7501	32401
188	7545	32376
189	7586	32343
190	7629	32314
191	7685	32344
192	7730	32324
193	7779	32320
194	7825	32306
195	7872	32293
196	7915	32263
197	7963	32254
198	8011	32246
199	8057	32229
200	8098	32193
201	8137	32145
202	8182	32126
203	8222	32083
204	8272	32080
205	8316	32055
206	8363	32039
207	8405	32005
208	8456	32004
209	8514	32032
210	8556	31995
211	8596	31952
212	8632	31894
213	8667	31835
214	8704	31782
215	8739	31721
216	8774	31659
217	8809	31599
218	8845	31544
219	8879	31481
220	8921	31448
221	8959	31399
222	8996	31345
223	9035	31301
224	9070	31241
225	9108	31196
226	9154	31175
227	9192	31125
228	9231	31080
229	9269	31031
230	9307	30986
231	9344	30933
232	9381	30881
233	9420	30838
234	9455	30781
235	9496	30742
236	9538	30708
237	9579	30669
238	9617	30622
239	9652	30565
240	9688	30513
241	9726	30466
242	9760	30406
243	9799	30363
244	9832	30300
245	9862	30228
246	9900	30181
247	9941	30145
248	9978	30097
249	10017	30051
250	10049	29989
251	10087	29941
252	10123	29890
253	10158	29835
254	10194	29783
255	10226	29720
256	10260	29663
257	10298	29617
258	10334	29567
259	10368	29510
260	10403	29457
261	10444	29420
262	10483	29378
263	10520	29328
264	10559	29287
265	10599	29246
266	10632	29190
267	10665	29131
268	10701	29082
269	10752	29071
270	10796	29044
271	10830	28988
272	10868	28941
273	10909	28905
274	10947	28861
275	10986	28818
276	11023	28771
277	11055	28713
278	11095	28673
279	11129	28618
280	11165	28568
281	11209	28540
282	11256	28518
283	11298	28486
284	11347	28468
285	11383	28418
286	11416	28363
287	11451	28309
288	11491	28270
289	11541	28257
290	11589	28237
291	11639	28222
292	11677	28176
293	11710	28122
294	11748	28076
295	11784	28028
296	11824	27989
297	11869	27961
298	11913	27931
299	11961	27911
300	12003	27874
301	12036	27819
302	12071	27767
303	12110	27725
304	12161	27711
305	12208	27689
306	12257	27670
307	12300	27635
308	12336	27587
309	12371	27535
310	12410	27495
311	12460	27476
312	12510	27458
313	12558	27436
314	12604	27409
315	12645	27371
316	12685	27331
317	12720	27280
318	12752	27223
319	12789	27178
320	12833	27145
321	12876	27111
322	12919	27079
323	12970	27061
324	13014	27030
325	13054	26989
326	13089	26940
327	13130	26900
328	13162	26845
329	13199	26799
330	13234	26747
331	13271	26702
332	13303	26647
333	13335	26591
334	13376	26552
335	13414	26510
336	13454	26469
337	13498	26438
338	13546	26413
339	13592	26384
340	13636	26353
341	13669	26300
342	13705	26252
343	13744	26210
344	13779	26161
345	13810	26104
346	13850	26064
347	13885	26015
348	13919	25964
349	13966	25937
350	14016	25916
351	14066	25894
352	14107	25856
353	14141	25806
354	14178	25760
355	14224	25731
356	14276	25712
357	14323	25685
358	14357	25636
359	14396	25593
360	14452	25581
361	14498	25552
362	14552	25537
363	14585	25484
364	14621	25437
365	14666	25405
366	14715	25381
367	14766	25360
368	14806	25319
369	14842	25273
370	14889	25244
371	14935	25212
372	14976	25175
373	15029	25155
374	15064	25107
375	15100	25060
376	15141	25021
377	15187	24990
378	15232	24959
379	15276	24924
380	15319	24888
381	15354	24840
382	15394	24799
383	15442	24772
384	15490	24744
385	15534	24710
386	15586	24688
387	15630	24653
388	15679	24627
389	15723	24592
390	15767	24558
391	15811	24524
392	15844	24472
393	15880	24425
394	15914	24375
395	15951	24329
396	15985	24279
397	16033	24251
398	16085	24229
399	16132	24198
400	16178	24167
401	16214	24119
402	16253	24077
403	16286	24027
404	16323	23981
405	16363	23941
406	16400	23895
407	16436	23848
408	16476	23808
409	16523	23777
410	16568	23744
411	16617	23716
412	16666	23688
413	16709	23651
414	16746	23606
415	16786	23565
416	16823	23521
417	16859	23473
418	16897	23431
419	16933	23384
420	16973	23343
421	17010	23298
422	17044	23250
423	17088	23213
424	17125	23169
425	17162	23124
426	17198	23079
427	17234	23032
428	17272	22989
429	17307	22942
430	17340	22892
431	17376	22847
432	17416	22806
433	17453	22762
434	17492	22720
435	17529	22675
436	17564	22628
437	17599	22582
438	17633	22534
439	17669	22488
440	17703	22440
441	17741	22397
442	17777	22352
443	17812	22305
444	17856	22270
445	17888	22220
446	17923	22173
447	17963	22133
448	18003	22093
449	18040	22049
450	18078	22007
451	18126	21976
452	18159	21927
453	18197	21884
454	18241	21849
455	18277	21804
456	18316	21763
457	18354	21720
458	18396	21683
459	18445	21653
460	18489	21617
461	18528	21576
462	18571	21539
